"flag","content",
"$TITLE_SAVES","Saves",
"$TITLE_MENUS","Menus",
"$TITLE_BATTLES","Battle",
"$SAVE_PLAY","Play",
"$SAVE_PLAY+","Play+",
"$SAVE_IMPORT","Import",
"$SAVE_EXPORT","Export",
"$SAVE_DELETE","Delete",
"$SAVE_NEW_GAME","New Game",
"$SAVE_NEW_GAME+","New Game+",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$MISC_BACK","Back",
