"flag","content",
"$TITLE_SAVES","Saves",
"$TITLE_MENUS","Menus",
"$TITLE_BATTLES","Battle",
"$TITLE_DEFAULT","Default asset test",
"$SAVE_PLAY","Play",
"$SAVE_PLAY+","Play+",
"$SAVE_IMPORT","Import",
"$SAVE_EXPORT","Export",
"$SAVE_DELETE","Delete",
"$SAVE_NEW_GAME","New Game",
"$SAVE_NEW_GAME+","New Game+",
"$SAVE_SLOT_1_MSG","Untextured 9-slice chrome w/ scaling",
"$SAVE_SLOT_2_MSG","Textured 9-slice chrome w/ tiling",
"$SAVE_SLOT_DATA","Mane Lionhair<N>Level 5",
"$SAVE_SLOT_TIME","10 hours, 15 min",
"$SAVE_SLOT_DATE","January 1, 1970",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$DEFAULT_DESC","The widgets you see here use ONLY default FlxUI Assets!",
"$MISC_BACK","Back",
