"flag","content",
"$TITLE_SAVES","Fortsette",
"$TITLE_MENUS","Menyer",
"$TITLE_BATTLES","Kamp",
"$TITLE_DEFAULT","Standard-bilde test",
"$TITLE_CODE","Kode test",
"$TITLE_POPUP","Popup",
"$TITLE_SHAPES","Figurer",
"$SAVE_PLAY","Spill",
"$SAVE_PLAY+","Spill+",
"$SAVE_IMPORT","Importere",
"$SAVE_EXPORT","Eksportere",
"$SAVE_DELETE","Slette",
"$SAVE_NEW_GAME","Nyt Spill",
"$SAVE_NEW_GAME+","Nyt Spill+",
"$SAVE_SLOT_1_MSG","Uteksturert <LQ>9-slice<RQ> krom med skalering",
"$SAVE_SLOT_2_MSG","Teksturert <LQ>9-slice<RQ> krom med flislegging",
"$SAVE_SLOT_DATA","Mane Lionhair<N>Nivå 5",
"$SAVE_SLOT_TIME","10 timer, 15 min",
"$SAVE_SLOT_DATE","1. Januar, 1970",
"$MENU_THING_1","Ting 1",
"$MENU_THING_2","Ting 2",
"$MENU_1_FISH","En Fisk",
"$MENU_2_FISH","To Fisk",
"$MENU_RED_FISH","Rød Fisk",
"$MENU_BLUE_FISH","Blå Fisk",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Endre",
"$MENU_DROPDOWN","Drop-down",
"$DEFAULT_DESC","Widget'ene du ser her bruker BARE standard-bilder fra FlxUI!",
"$CODE_DESC","Widget'ene du ser her var laget bare med kode og ingen xml-fil!",
"$MISC_BACK","Tilbake",
"$POPUP_YES","Ja",
"$POPUP_NO","Nei",
"$POPUP_CANCEL","Avbryte",
"$POPUP_OK","Ok",
"$POPUP_BACK","Tilbake",
"$POPUP_CLOSE","Lukke",
"$POPUP_BTN_2ND_POPUP","Andre Popup",
"$POPUP_BTN_2_BUTTONS","2 Knapper",
"$POPUP_DEMO_0_TITLE","Popup - Demo 0",
"$POPUP_DEMO_0_BODY","Klikk en knapp og se hva som sjer.",
"$POPUP_DEMO_1_TITLE","Popup - Demo 1",
"$POPUP_DEMO_1_BODY","En enkelt pop-up instans kan inneholde flere varianter.",
"$POPUP_SIMPLE_TITLE","Også en Popup!",
"$POPUP_SIMPLE_BODY","Du kan åpne flere popup'er!",
"$POPUP_DEMO_2_TITLE","Popup - Demo 2",
"$POPUP_DEMO_2_BODY","Denne popup bruker 'default_popup.xml' filen fra FlxUIAssets",
